Student ID,Student Country,Question ID,Type of Answer,Question Level,Topic,Subtopic,,,,,,,,,,,,,
675,Portugal,80,1,Basic,Statistics,Statistics,,,,,Mode,Quantile,Sample,Mean,,,,,
659,Portugal,80,0,Basic,Statistics,Statistics,,,,,Mode,Quantile,Sample,Mean,,,,,
642,Italy,80,0,Basic,Statistics,Statistics,,,,,Mode,Quantile,Sample,Mean,,,,,
637,Italy,80,0,Basic,Statistics,Statistics,,,,,Mode,Quantile,Sample,Mean,,,,,
643,Italy,80,0,Basic,Statistics,Statistics,,,,,Mode,Quantile,Sample,Mean,,,,,
741,Ireland,81,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
647,Ireland,81,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
674,Ireland,81,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
713,Portugal,81,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
41,Portugal,81,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
669,Portugal,81,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
1505,Portugal,81,1,Basic,Statistics,Statistics,,,,,,,,,,,,,
668,Portugal,81,1,Basic,Statistics,Statistics,,,,,,,,,,,,,
695,Portugal,81,1,Basic,Statistics,Statistics,,,,,,,,,,,,,
699,Portugal,81,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
661,Portugal,81,1,Basic,Statistics,Statistics,,,,,,,,,,,,,
667,Portugal,81,1,Basic,Statistics,Statistics,,,,,,,,,,,,,
638,Italy,81,1,Basic,Statistics,Statistics,,,,,,,,,,,,,
1026,Lithuania,82,0,Basic,Differentiation,Derivatives,,,,,Product rule,,,,,,,,
175,Italy,82,0,Basic,Differentiation,Derivatives,,,,,Product rule,,,,,,,,
626,Italy,82,0,Basic,Differentiation,Derivatives,,,,,Product rule,,,,,,,,
349,Portugal,82,0,Basic,Differentiation,Derivatives,,,,,Product rule,,,,,,,,
174,Portugal,82,0,Basic,Differentiation,Derivatives,,,,,Product rule,,,,,,,,
1564,Portugal,82,0,Basic,Differentiation,Derivatives,,,,,Product rule,,,,,,,,
407,Portugal,82,0,Basic,Differentiation,Derivatives,,,,,Product rule,,,,,,,,
411,Portugal,82,0,Basic,Differentiation,Derivatives,,,,,Product rule,,,,,,,,
155,Spain,82,0,Basic,Differentiation,Derivatives,,,,,Product rule,,,,,,,,
240,Lithuania,83,1,Basic,Real Functions of a single variable,Domain,,,,,,,,,,,,,
626,Italy,83,1,Basic,Real Functions of a single variable,Domain,,,,,,,,,,,,,
750,Portugal,83,0,Basic,Real Functions of a single variable,Domain,,,,,,,,,,,,,
1509,Portugal,83,1,Basic,Real Functions of a single variable,Domain,,,,,,,,,,,,,
1557,Portugal,83,1,Basic,Real Functions of a single variable,Domain,,,,,,,,,,,,,
1557,Portugal,83,0,Basic,Real Functions of a single variable,Domain,,,,,,,,,,,,,
181,Italy,83,0,Basic,Real Functions of a single variable,Domain,,,,,,,,,,,,,
181,Italy,83,0,Basic,Real Functions of a single variable,Domain,,,,,,,,,,,,,
351,Portugal,84,1,Basic,Real Functions of a single variable,Domain,,,,,,,,,,,,,
1564,Portugal,84,1,Basic,Real Functions of a single variable,Limits and Continuity,,,,,,,,,,,,,
181,Italy,84,0,Basic,Real Functions of a single variable,Domain,,,,,,,,,,,,,
1565,Portugal,85,0,Basic,Real Functions of a single variable,Limits and Continuity,,,,,,,,,,,,,
1481,Portugal,85,0,Basic,Real Functions of a single variable,Limits and Continuity,,,,,,,,,,,,,
1557,Portugal,86,1,Advanced,Real Functions of a single variable,Domain,,,,,,,,,,,,,
552,Portugal,87,0,Advanced,Real Functions of a single variable,Limits and Continuity,,,,,,,,,,,,,
1557,Portugal,87,1,Advanced,Real Functions of a single variable,Limits and Continuity,,,,,,,,,,,,,
1557,Portugal,87,0,Advanced,Real Functions of a single variable,Limits and Continuity,,,,,,,,,,,,,
1557,Portugal,87,0,Advanced,Real Functions of a single variable,Limits and Continuity,,,,,,,,,,,,,
854,Italy,88,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
854,Italy,88,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
26,Portugal,88,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
511,Portugal,88,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
973,Portugal,88,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
411,Portugal,88,0,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
852,Italy,88,0,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
852,Italy,88,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
852,Italy,88,0,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
988,Portugal,89,0,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
988,Portugal,89,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
854,Italy,89,0,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
860,Italy,89,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
510,Portugal,89,0,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
979,Portugal,89,0,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
509,Portugal,89,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
511,Portugal,89,0,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
406,Portugal,89,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
406,Portugal,89,0,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
411,Portugal,89,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
852,Italy,89,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
852,Italy,89,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
600,Italy,89,0,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
853,Italy,89,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
853,Italy,89,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
1248,Italy,90,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
855,Italy,90,0,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
855,Italy,90,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
510,Portugal,90,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
509,Portugal,90,0,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
525,Portugal,90,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
986,Portugal,90,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
406,Portugal,90,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
414,Portugal,90,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
852,Italy,90,0,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
28,Portugal,90,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
853,Italy,90,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
853,Italy,90,1,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
72,Portugal,90,0,Basic,Linear Algebra,Linear Systems,,,,,Consistent system,,,,,,,,
988,Portugal,91,1,Basic,Linear Algebra,Linear Systems,,,,,,,,,,,,,
988,Portugal,91,1,Basic,Linear Algebra,Linear Systems,,,,,,,,,,,,,
1248,Italy,91,1,Basic,Linear Algebra,Linear Systems,,,,,,,,,,,,,
855,Italy,91,0,Basic,Linear Algebra,Linear Systems,,,,,,,,,,,,,
855,Italy,91,0,Basic,Linear Algebra,Linear Systems,,,,,,,,,,,,,
511,Portugal,91,1,Basic,Linear Algebra,Linear Systems,,,,,,,,,,,,,
511,Portugal,91,0,Basic,Linear Algebra,Linear Systems,,,,,,,,,,,,,
406,Portugal,91,0,Basic,Linear Algebra,Linear Systems,,,,,,,,,,,,,
414,Portugal,91,1,Basic,Linear Algebra,Linear Systems,,,,,,,,,,,,,
414,Portugal,91,1,Basic,Linear Algebra,Linear Systems,,,,,,,,,,,,,
852,Italy,91,1,Basic,Linear Algebra,Linear Systems,,,,,,,,,,,,,
852,Italy,91,1,Basic,Linear Algebra,Linear Systems,,,,,,,,,,,,,
598,Italy,91,0,Basic,Linear Algebra,Linear Systems,,,,,,,,,,,,,
854,Italy,92,1,Basic,Linear Algebra,Linear Systems,,,,,Undetermined solution of linear system,,,,,,,,
510,Portugal,92,0,Basic,Linear Algebra,Linear Systems,,,,,Undetermined solution of linear system,,,,,,,,
524,Portugal,92,0,Basic,Linear Algebra,Linear Systems,,,,,Undetermined solution of linear system,,,,,,,,
26,Portugal,92,1,Basic,Linear Algebra,Linear Systems,,,,,Undetermined solution of linear system,,,,,,,,
511,Portugal,92,1,Basic,Linear Algebra,Linear Systems,,,,,Undetermined solution of linear system,,,,,,,,
509,Portugal,92,0,Basic,Linear Algebra,Linear Systems,,,,,Undetermined solution of linear system,,,,,,,,
406,Portugal,92,1,Basic,Linear Algebra,Linear Systems,,,,,Undetermined solution of linear system,,,,,,,,
414,Portugal,92,0,Basic,Linear Algebra,Linear Systems,,,,,Undetermined solution of linear system,,,,,,,,
411,Portugal,92,1,Basic,Linear Algebra,Linear Systems,,,,,Undetermined solution of linear system,,,,,,,,
853,Italy,92,1,Basic,Linear Algebra,Linear Systems,,,,,Undetermined solution of linear system,,,,,,,,
625,Russian Federation,92,1,Basic,Linear Algebra,Linear Systems,,,,,Undetermined solution of linear system,,,,,,,,
239,Lithuania,93,0,Basic,Differentiation,Derivatives,,,,,,,,,,,,,
1049,Lithuania,93,0,Basic,Differentiation,Derivatives,,,,,,,,,,,,,
483,Portugal,93,1,Basic,Differentiation,Derivatives,,,,,,,,,,,,,
352,Portugal,93,0,Basic,Differentiation,Derivatives,,,,,,,,,,,,,
64,Portugal,93,1,Basic,Differentiation,Derivatives,,,,,,,,,,,,,
176,Italy,93,1,Basic,Differentiation,Derivatives,,,,,,,,,,,,,
165,Portugal,94,1,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
626,Italy,94,0,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
349,Portugal,94,1,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
349,Portugal,94,0,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
918,Portugal,94,1,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
64,Portugal,94,1,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
411,Portugal,94,0,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
178,Italy,94,0,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
634,Italy,94,0,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
239,Lithuania,95,1,Basic,Differentiation,Derivatives,,,,,Power rule,Exponential rule,,,,,,,
175,Italy,95,0,Basic,Differentiation,Derivatives,,,,,Power rule,Exponential rule,,,,,,,
985,Romania,95,1,Basic,Differentiation,Derivatives,,,,,Power rule,Exponential rule,,,,,,,
349,Portugal,95,0,Basic,Differentiation,Derivatives,,,,,Power rule,Exponential rule,,,,,,,
918,Portugal,95,0,Basic,Differentiation,Derivatives,,,,,Power rule,Exponential rule,,,,,,,
155,Spain,96,0,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
1049,Lithuania,97,1,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
175,Italy,97,0,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
71,Portugal,97,1,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
1564,Portugal,97,0,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
407,Portugal,97,0,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
37,Portugal,97,1,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
177,Italy,97,1,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
176,Italy,97,0,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
344,Portugal,98,1,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
165,Portugal,98,1,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
175,Italy,98,0,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
483,Portugal,98,1,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
174,Portugal,98,1,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
177,Italy,98,0,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
176,Italy,98,0,Basic,Differentiation,Derivatives,,,,,Power rule,,,,,,,,
351,Portugal,100,1,Basic,Differentiation,Derivatives,,,,,,,,,,,,,
1049,Lithuania,100,0,Basic,Differentiation,Derivatives,,,,,,,,,,,,,
344,Portugal,100,0,Basic,Differentiation,Derivatives,,,,,,,,,,,,,
985,Romania,100,1,Basic,Differentiation,Derivatives,,,,,,,,,,,,,
483,Portugal,100,0,Basic,Differentiation,Derivatives,,,,,,,,,,,,,
352,Portugal,100,0,Basic,Differentiation,Derivatives,,,,,,,,,,,,,
71,Portugal,100,1,Basic,Differentiation,Derivatives,,,,,,,,,,,,,
407,Portugal,100,0,Basic,Differentiation,Derivatives,,,,,,,,,,,,,
351,Portugal,101,0,Advanced,Differentiation,Derivatives,,,,,,,,,,,,,
41,Portugal,102,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
351,Portugal,102,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
351,Portugal,102,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
351,Portugal,102,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
203,Lithuania,102,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
344,Portugal,102,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
510,Portugal,102,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
510,Portugal,102,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
510,Portugal,102,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
524,Portugal,102,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
197,Portugal,102,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
1274,Portugal,102,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
525,Portugal,102,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
525,Portugal,102,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
525,Portugal,102,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
1379,Portugal,102,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
151,Portugal,102,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
151,Portugal,102,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
151,Portugal,102,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
176,Italy,102,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
204,Lithuania,102,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
625,Russian Federation,102,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
625,Russian Federation,102,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
625,Russian Federation,102,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
625,Russian Federation,102,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
41,Portugal,104,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
351,Portugal,104,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
201,Lithuania,104,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
199,Lithuania,104,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
175,Italy,104,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
1518,Portugal,104,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
524,Portugal,104,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
524,Portugal,104,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
524,Portugal,104,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
1274,Portugal,104,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
406,Portugal,104,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
1379,Portugal,104,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
71,Portugal,104,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
160,Portugal,104,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
405,Portugal,104,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
151,Portugal,104,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
151,Portugal,104,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
151,Portugal,104,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
151,Portugal,104,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
176,Italy,104,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
204,Lithuania,104,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
41,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
351,Portugal,108,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
351,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
202,Lithuania,108,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
199,Lithuania,108,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
200,Lithuania,108,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
524,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
483,Portugal,108,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
1274,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
406,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
509,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
511,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
525,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
1379,Portugal,108,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
64,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
219,Lithuania,108,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
151,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
151,Portugal,108,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
151,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
151,Portugal,108,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
176,Italy,108,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
204,Lithuania,108,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
204,Lithuania,108,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
625,Russian Federation,108,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
41,Portugal,112,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
351,Portugal,112,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
203,Lithuania,112,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
200,Lithuania,112,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
524,Portugal,112,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
483,Portugal,112,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
1274,Portugal,112,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
511,Portugal,112,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
525,Portugal,112,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
525,Portugal,112,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
359,Portugal,112,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
151,Portugal,112,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
151,Portugal,112,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
151,Portugal,112,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
151,Portugal,112,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
176,Italy,112,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
177,Italy,112,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
625,Russian Federation,112,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
624,Portugal,112,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
41,Portugal,113,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
218,Lithuania,113,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
200,Lithuania,113,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
985,Romania,113,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
510,Portugal,113,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
510,Portugal,113,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
524,Portugal,113,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
197,Portugal,113,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
483,Portugal,113,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
1274,Portugal,113,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
525,Portugal,113,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
151,Portugal,113,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
151,Portugal,113,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
151,Portugal,113,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
151,Portugal,113,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
151,Portugal,113,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
176,Italy,113,1,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
625,Russian Federation,113,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
625,Russian Federation,113,0,Basic,Fundamental Mathematics,Algebraic expressions,,,,,,,,,,,,,
